"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2012","All genders","Not applicable","Number","867551"
"Afghanistan","2012","Female","Not applicable","Number","424123"
"Afghanistan","2012","Male","Not applicable","Number","443428"
"Afghanistan","2011","Male","Not applicable","Number","431278"
"Afghanistan","2011","All genders","Not applicable","Number","844028"
"Afghanistan","2011","Female","Not applicable","Number","412750"
"Afghanistan","2010","Female","Not applicable","Number","400150"
"Afghanistan","2010","Male","Not applicable","Number","417844"
"Afghanistan","2010","All genders","Not applicable","Number","817994"
"Afghanistan","2009","All genders","Not applicable","Number","782319"
"Afghanistan","2009","Male","Not applicable","Number","399593"
"Afghanistan","2009","Female","Not applicable","Number","382726"
"Afghanistan","2008","Female","Not applicable","Number","364876"
"Afghanistan","2008","All genders","Not applicable","Number","745702"
"Afghanistan","2008","Male","Not applicable","Number","380826"
"Afghanistan","2007","Male","Not applicable","Number","362980"
"Afghanistan","2007","All genders","Not applicable","Number","711133"
"Afghanistan","2007","Female","Not applicable","Number","348153"
"Afghanistan","2006","Male","Not applicable","Number","345132"
"Afghanistan","2006","Female","Not applicable","Number","331787"
"Afghanistan","2006","All genders","Not applicable","Number","676919"
"Afghanistan","2005","Female","Not applicable","Number","317457"
"Afghanistan","2005","Male","Not applicable","Number","329163"
"Afghanistan","2005","All genders","Not applicable","Number","646620"
"Afghanistan","2004","All genders","Not applicable","Number","620239"
"Afghanistan","2004","Female","Not applicable","Number","304453"
"Afghanistan","2004","Male","Not applicable","Number","315786"
"Afghanistan","2003","Male","Not applicable","Number","302841"
"Afghanistan","2003","Female","Not applicable","Number","291868"
"Afghanistan","2003","All genders","Not applicable","Number","594709"
"Afghanistan","2002","All genders","Not applicable","Number","568671"
"Afghanistan","2002","Female","Not applicable","Number","279085"
"Afghanistan","2002","Male","Not applicable","Number","289586"
"Afghanistan","2001","Male","Not applicable","Number","277742"
"Afghanistan","2001","All genders","Not applicable","Number","545314"
"Afghanistan","2001","Female","Not applicable","Number","267572"
"Afghanistan","2000","Female","Not applicable","Number","257828"
"Afghanistan","2000","Male","Not applicable","Number","268172"
"Afghanistan","2000","All genders","Not applicable","Number","526000"
"Afghanistan","1999","Male","Not applicable","Number","259204"
"Afghanistan","1999","All genders","Not applicable","Number","507797"
"Afghanistan","1999","Female","Not applicable","Number","248593"
"Afghanistan","1998","All genders","Not applicable","Number","493490"
"Afghanistan","1998","Female","Not applicable","Number","241174"
"Afghanistan","1998","Male","Not applicable","Number","252316"
"Afghanistan","1997","Male","Not applicable","Number","246712"
"Afghanistan","1997","All genders","Not applicable","Number","481673"
"Afghanistan","1997","Female","Not applicable","Number","234961"
"Afghanistan","1996","Female","Not applicable","Number","228234"
"Afghanistan","1996","Male","Not applicable","Number","240558"
"Afghanistan","1996","All genders","Not applicable","Number","468792"
"Afghanistan","1995","All genders","Not applicable","Number","450786"
"Afghanistan","1995","Female","Not applicable","Number","219088"
"Afghanistan","1995","Male","Not applicable","Number","231698"
"Afghanistan","1994","Female","Not applicable","Number","205715"
"Afghanistan","1994","All genders","Not applicable","Number","424201"
"Afghanistan","1994","Male","Not applicable","Number","218486"
"Afghanistan","1993","All genders","Not applicable","Number","392709"
"Afghanistan","1993","Female","Not applicable","Number","190013"
"Afghanistan","1993","Male","Not applicable","Number","202696"
"Afghanistan","1992","Male","Not applicable","Number","186385"
"Afghanistan","1992","Female","Not applicable","Number","173894"
"Afghanistan","1992","All genders","Not applicable","Number","360279"
"Afghanistan","1991","All genders","Not applicable","Number","331968"
"Afghanistan","1991","Male","Not applicable","Number","172129"
"Afghanistan","1991","Female","Not applicable","Number","159839"
"Afghanistan","1990","Female","Not applicable","Number","149418"
"Afghanistan","1990","All genders","Not applicable","Number","310909"
"Afghanistan","1990","Male","Not applicable","Number","161491"
"Afghanistan","1989","All genders","Not applicable","Number","296603"
"Afghanistan","1989","Male","Not applicable","Number","154160"
"Afghanistan","1989","Female","Not applicable","Number","142443"
"Afghanistan","1988","Male","Not applicable","Number","149844"
"Afghanistan","1988","Female","Not applicable","Number","138465"
"Afghanistan","1988","All genders","Not applicable","Number","288309"
"Afghanistan","1987","All genders","Not applicable","Number","286653"
"Afghanistan","1987","Male","Not applicable","Number","148899"
"Afghanistan","1987","Female","Not applicable","Number","137754"
"Afghanistan","1986","Female","Not applicable","Number","139396"
"Afghanistan","1986","All genders","Not applicable","Number","289766"
"Afghanistan","1986","Male","Not applicable","Number","150370"
"Afghanistan","1985","Male","Not applicable","Number","153320"
"Afghanistan","1985","All genders","Not applicable","Number","295801"
"Afghanistan","1985","Female","Not applicable","Number","142481"
"Afghanistan","1984","Female","Not applicable","Number","145533"
"Afghanistan","1984","All genders","Not applicable","Number","301525"
"Afghanistan","1984","Male","Not applicable","Number","155992"
"Afghanistan","1983","Male","Not applicable","Number","159458"
"Afghanistan","1983","Female","Not applicable","Number","149348"
"Afghanistan","1983","All genders","Not applicable","Number","308806"
"Afghanistan","1982","All genders","Not applicable","Number","317229"
"Afghanistan","1982","Female","Not applicable","Number","153725"
"Afghanistan","1982","Male","Not applicable","Number","163504"
"Afghanistan","1981","Male","Not applicable","Number","167543"
"Afghanistan","1981","Female","Not applicable","Number","158080"
"Afghanistan","1981","All genders","Not applicable","Number","325623"
"Afghanistan","1980","Male","Not applicable","Number","170557"
"Afghanistan","1980","All genders","Not applicable","Number","331937"
"Afghanistan","1980","Female","Not applicable","Number","161380"
"Afghanistan","1979","Female","Not applicable","Number","167266"
"Afghanistan","1979","All genders","Not applicable","Number","343613"
"Afghanistan","1979","Male","Not applicable","Number","176347"
"Afghanistan","1978","Male","Not applicable","Number","174296"
"Afghanistan","1978","All genders","Not applicable","Number","339782"
"Afghanistan","1978","Female","Not applicable","Number","165486"
"Afghanistan","1977","All genders","Not applicable","Number","333561"
"Afghanistan","1977","Female","Not applicable","Number","162508"
"Afghanistan","1977","Male","Not applicable","Number","171053"
"Afghanistan","1976","Male","Not applicable","Number","167623"
"Afghanistan","1976","Female","Not applicable","Number","159296"
"Afghanistan","1976","All genders","Not applicable","Number","326919"
"Afghanistan","1975","All genders","Not applicable","Number","320865"
"Afghanistan","1975","Male","Not applicable","Number","164527"
"Afghanistan","1975","Female","Not applicable","Number","156338"
"Albania","2003","Female","Not applicable","Number","31485"
"Albania","2003","Male","Not applicable","Number","32556"
"Albania","2003","All genders","Not applicable","Number","64041"
"Albania","2002","All genders","Not applicable","Number","66099"
"Albania","2002","Male","Not applicable","Number","33755"
"Albania","2002","Female","Not applicable","Number","32344"
"Albania","2001","Female","Not applicable","Number","33280"
"Albania","2001","Male","Not applicable","Number","35071"
"Albania","2001","All genders","Not applicable","Number","68351"
"Albania","2000","All genders","Not applicable","Number","70845"
"Albania","2000","Male","Not applicable","Number","36339"
"Albania","2000","Female","Not applicable","Number","34506"
"Albania","1999","Female","Not applicable","Number","35557"
"Albania","1999","Male","Not applicable","Number","37490"
"Albania","1999","All genders","Not applicable","Number","73047"
"Albania","1998","Male","Not applicable","Number","38082"
"Albania","1998","All genders","Not applicable","Number","74295"
"Albania","1998","Female","Not applicable","Number","36213"
"Albania","1997","Female","Not applicable","Number","36476"
"Albania","1997","All genders","Not applicable","Number","74666"
"Albania","1997","Male","Not applicable","Number","38190"
"Albania","1996","Male","Not applicable","Number","38136"
"Albania","1996","All genders","Not applicable","Number","74605"
"Albania","1996","Female","Not applicable","Number","36469"
"Albania","1995","Female","Not applicable","Number","36286"
"Albania","1995","Male","Not applicable","Number","37856"
"Albania","1995","All genders","Not applicable","Number","74142"
"Albania","1994","All genders","Not applicable","Number","73851"
"Albania","1994","Male","Not applicable","Number","37700"
"Albania","1994","Female","Not applicable","Number","36151"
"Albania","1993","Female","Not applicable","Number","36359"
"Albania","1993","Male","Not applicable","Number","37946"
"Albania","1993","All genders","Not applicable","Number","74305"
"Albania","1992","All genders","Not applicable","Number","75187"
"Albania","1992","Female","Not applicable","Number","36752"
"Albania","1992","Male","Not applicable","Number","38435"
"Albania","1991","Male","Not applicable","Number","38844"
"Albania","1991","Female","Not applicable","Number","37006"
"Albania","1991","All genders","Not applicable","Number","75850"
"Albania","1990","All genders","Not applicable","Number","76074"
"Albania","1990","Female","Not applicable","Number","37057"
"Albania","1990","Male","Not applicable","Number","39017"
"Albania","1989","Male","Not applicable","Number","38904"
"Albania","1989","Female","Not applicable","Number","36908"
"Albania","1989","All genders","Not applicable","Number","75812"
"Albania","1988","Male","Not applicable","Number","38517"
"Albania","1988","All genders","Not applicable","Number","75062"
"Albania","1988","Female","Not applicable","Number","36545"
"Albania","1987","Female","Not applicable","Number","36056"
"Albania","1987","All genders","Not applicable","Number","74012"
"Albania","1987","Male","Not applicable","Number","37956"
"Albania","1986","All genders","Not applicable","Number","72864"
"Albania","1986","Male","Not applicable","Number","37317"
"Albania","1986","Female","Not applicable","Number","35547"
"Albania","1985","Female","Not applicable","Number","35158"
"Albania","1985","Male","Not applicable","Number","36825"
"Albania","1985","All genders","Not applicable","Number","71983"
